latitude,longitude,depth_m,fetch_km,secchi,substrate,limitation
43.63540759,-79.3421566,3.7663342,1.529271333,5,0,0
43.63540167,-79.34207418,3.916284227,1.531066622,5,0,0
43.63588055,-79.34070329,5.026189327,1.622512157,5,0,0
43.63606227,-79.33985271,5.447730064,1.605330618,6,0,0
43.63595378,-79.33993125,7.141961575,1.603833341,6,1,0
43.63325,-79.3383,7.077565365,2.526024041,1.5,1,1
43.63529932,-79.34100992,7.807000542,1.598188074,2,1,1
43.63334,-79.3385,7.311880283,2.537640489,3,0,0
43.63662587,-79.33869169,8.784781837,2.432377606,5,1,0
43.63529178,-79.34096743,8.488430405,1.598958429,4,1,0
43.63427327,-79.33885504,10.8805336,2.498786179,1,1,1
43.63356827,-79.34040846,11.35611191,2.553175514,5,0,1
43.63368575,-79.34008609,11.60987511,2.540362256,6,0,0
